ID,time,tGUI,CR,AR,FR,VC
S1001,30,50,0,0.06,0.006666667,-0.44
S1001,35,50,0.001666667,0.066666667,0.015,-0.441666667
S1001,40,50,0.003333333,0.073333333,0.023333333,-0.443333333
S1001,45,50,0.005,0.08,0.031666667,-0.445
S1001,50,50,0.006666667,0.086666667,0.04,-0.446666667
S1001,55,50,0.008333333,0.093333333,0.048333333,-0.448333333
S1001,60,50,0.01,0.1,0.056666667,-0.45
S1001,65,50,0.008333333,0.105,0.071666667,-0.46
S1001,70,50,0.006666667,0.11,0.086666667,-0.47
S1001,75,50,0.005,0.115,0.101666667,-0.48
S1001,80,50,0.003333333,0.12,0.116666667,-0.49
S1001,85,50,0.001666667,0.125,0.131666667,-0.5
S1001,90,50,0,0.13,0.146666667,-0.51
S1001,95,50,0,0.133657234,0.146666667,-0.507800926
S1001,100,50,0,0.136719548,0.146666667,-0.503518519
S1001,105,50,0,0.14,0.146666667,-0.5
S1001,110,50,0,0.143333333,0.146666667,-0.496666667
S1001,115,50,0,0.146666667,0.146666667,-0.493333333
S1001,120,50,0,0.15,0.146666667,-0.49
S1001,125,50,0,0.153333333,0.141489152,-0.481094276
S1001,130,50,0,0.156666667,0.130887574,-0.467443182
S1001,135,50,0,0.16,0.121666667,-0.455
S1001,140,50,0,0.163333333,0.113333333,-0.443333333
S1001,145,50,0,0.166666667,0.105,-0.431666667
S1001,150,50,0,0.17,0.096666667,-0.42
S1001,155,50,0,0.173333333,0.083822332,-0.403756204
S1001,160,50,0,0.176666667,0.067518287,-0.38415883
S1001,165,50,0,0.18,0.051666667,-0.365
S1001,170,50,0,0.183333333,0.036666667,-0.346666667
S1001,175,50,0,0.186666667,0.021666667,-0.328333333
S1001,180,50,0,0.19,0.006666667,-0.31
S1001,185,50,-0.000925926,0.195481718,-0.004602631,-0.292855606
S1001,190,50,-0.002962963,0.202740859,-0.013967982,-0.276427803
S1001,195,50,-0.005,0.21,-0.023333333,-0.26
S1001,200,50,-0.006666667,0.216666667,-0.033333333,-0.243333333
S1001,205,50,-0.008333333,0.223333333,-0.043333333,-0.226666667
S1001,210,50,-0.01,0.23,-0.053333333,-0.21
S1001,215,50,-0.011666667,0.237770948,-0.063333333,-0.192207935
S1001,220,50,-0.013333333,0.246332024,-0.073333333,-0.17365541
S1001,225,50,-0.015,0.254986057,-0.083333333,-0.15501342
S1001,230,50,-0.016666667,0.263333333,-0.093333333,-0.136666667
S1001,235,50,-0.018333333,0.271666667,-0.103333333,-0.118333333
S1001,240,50,-0.02,0.28,-0.113333333,-0.1
S1001,245,50,-0.021666667,0.28590522,-0.123333333,-0.083969786
S1001,250,50,-0.023333333,0.290616052,-0.133333333,-0.069298882
S1001,255,50,-0.025,0.295075435,-0.143333333,-0.054914149
S1001,260,50,-0.026666667,0.3,-0.153333333,-0.04
S1001,265,50,-0.028333333,0.305,-0.163333333,-0.025
S1001,270,49.99794027,-0.03,0.31,-0.173333333,-0.01
S1001,275,49.3544057,-0.031666667,0.31,-0.18472695,0.002141402
S1001,280,49,-0.033333333,0.31,-0.196666667,0.013333333
S1001,285,49,-0.035,0.31,-0.208333333,0.025
S1001,290,49,-0.036666667,0.31,-0.22,0.036666667
S1001,295,49,-0.038333333,0.31,-0.231666667,0.048333333
S1001,300,48.99929726,-0.04,0.31,-0.243333333,0.06
S1001,305,48.82361209,-0.041666667,0.308476454,-0.258921828,0.073697528
S1001,310,48.64792691,-0.043333333,0.304829178,-0.277731306,0.088923467
S1001,315,48.47224174,-0.045,0.300443213,-0.297661128,0.104681027
S1001,320,48.30254623,-0.046666667,0.296666667,-0.316666667,0.12
S1001,325,48.20875753,-0.048333333,0.293333333,-0.335,0.135
S1001,330,47,-0.05,0.29,-0.353333333,0.15
S1001,335,47,-0.05,0.284832884,-0.373683019,0.165
S1001,340,47,-0.05,0.2779996,-0.395496017,0.18
S1001,345,47,-0.05,0.27049985,-0.41789434,0.195
S1001,350,47,-0.05,0.263333333,-0.44,0.21
S1001,355,47,-0.05,0.256666667,-0.461666667,0.225
S1001,360,47,-0.05,0.25,-0.483333333,0.24
S1001,365,47,-0.05,0.242357455,-0.506006235,0.255
S1001,370,47,-0.05,0.233986344,-0.529375686,0.27
S1001,375,47,-0.05,0.225291426,-0.553054714,0.285
S1001,380,47,-0.05,0.21667746,-0.576656347,0.3
S1001,385,47,-0.05,0.208333333,-0.6,0.315
S1001,390,47,-0.05,0.2,-0.623333333,0.33
S1001,395,47,-0.050671488,0.192721397,-0.646666667,0.345980771
S1001,400,47,-0.052341598,0.186056847,-0.67,0.362649811
S1001,405,47,-0.054493802,0.179688738,-0.693333333,0.379651119
S1001,410,47,-0.05661157,0.173299454,-0.716666667,0.396628693
S1001,415,47,-0.058333333,0.166666667,-0.74,0.413333333
S1001,420,47,-0.06,0.16,-0.763333333,0.43
S1001,425,47,-0.061666667,0.154388002,-0.785663062,0.446666667
S1001,430,47,-0.063333333,0.149361558,-0.80735838,0.463333333
S1001,435,47,-0.065,0.144637335,-0.828726259,0.48
S1001,440,47,-0.066666667,0.139932,-0.850073674,0.496666667
S1001,445,47,-0.068333333,0.135,-0.871666667,0.513333333
S1001,450,46.97297297,-0.07,0.13,-0.893333333,0.53
S1001,455,45,-0.07,0.125,-0.908333333,0.54
S1001,460,45,-0.07,0.12,-0.923333333,0.55
S1001,465,45,-0.07,0.115,-0.938333333,0.56
