ID,Type,On,Off
S1001,tGUI,9:24:15,9:24:18
S1001,tGUI,9:24:18,9:24:19
S1001,tGUI,9:26:15,9:26:37
S1001,tGUI,9:27:15,9:27:16
S1001,tGUI,9:27:45,9:28:07
S1001,tGUI,9:28:15,9:28:37
S1001,tGUI,9:31:45,9:32:09
S1001,tGUI,9:33:15,9:33:21
S1001,tGUI,9:34:15,9:34:38
S1001,tGUI,9:35:15,9:35:23
S1001,tGUI,9:36:45,9:36:59
S1001,tGUI,9:37:15,9:37:16
S1001,tGUI,9:37:19,9:37:25
S1001,tGUI,9:37:45,9:38:05
S1001,tGUI,9:38:21,9:38:50
S1001,tGUI,9:39:15,9:39:17
S1001,tGUI,9:39:45,9:40:04
S1001,tGUI,9:41:15,9:41:17
S1001,tGUI,9:42:18,9:42:20
S1001,tGUI,9:44:45,9:45:08
S1001,tGUI,9:46:15,9:46:27
S1001,tGUI,9:46:34,9:46:45
S1001,tGUI,9:47:15,9:47:34
S1001,tGUI,9:47:45,9:47:46
S1001,tGUI,9:49:15,9:50:45
S1001,EMG,9:51:55,9:52:45
S1002,tGUI,8:51:43,8:54:41
S1002,tGUI,8:59:41,8:59:43
S1002,tGUI,9:00:41,9:01:02
S1002,tGUI,9:02:11,9:02:26
S1002,tGUI,9:05:55,9:06:05
S1002,tGUI,9:07:13,9:07:16
S1002,tGUI,9:10:50,9:10:55
S1002,tGUI,9:11:43,9:11:51
S1002,tGUI,9:11:53,9:11:57
S1002,tGUI,9:12:11,9:12:12
S1002,tGUI,9:12:14,9:12:19
S1002,tGUI,9:12:41,9:12:43
S1002,tGUI,9:12:44,9:12:49
S1002,tGUI,9:13:33,9:13:37
S1002,tGUI,9:13:41,9:13:46
S1002,tGUI,9:14:01,9:14:05
S1002,tGUI,9:14:41,9:15:06
S1002,tGUI,9:15:11,9:15:21
S1002,tGUI,9:15:28,9:15:33
S1002,tGUI,9:15:35,9:15:40
S1002,tGUI,9:15:42,9:15:54
S1002,tGUI,9:16:11,9:16:26
S1002,tGUI,9:16:41,9:16:45
S1002,tGUI,9:16:48,9:17:00
S1002,tGUI,9:17:11,9:17:20
S1002,tGUI,9:17:29,9:17:41
S1002,tGUI,9:17:51,9:17:58
S1002,tGUI,9:18:41,9:18:56
S1002,tGUI,9:18:59,9:19:01
S1002,tGUI,9:19:11,9:19:38
S1002,tGUI,9:19:52,9:19:57
S1002,tGUI,9:20:42,9:20:46
S1002,tGUI,9:20:49,9:20:57
S1002,tGUI,9:21:10,9:21:12
S1002,tGUI,9:21:41,9:21:46
S1002,tGUI,9:22:05,9:22:11
S1002,tGUI,9:22:13,9:22:18
S1002,tGUI,9:22:23,9:22:28
S1002,tGUI,9:22:32,9:22:38
S1002,tGUI,9:22:41,9:22:48
S1002,tGUI,9:22:51,9:23:02
S1002,tGUI,9:23:11,9:23:17
S1002,tGUI,9:23:52,9:23:54
S1002,tGUI,9:24:02,9:24:04
S1002,tGUI,9:24:11,9:24:16
S1002,tGUI,9:24:23,9:24:29
S1002,tGUI,9:24:41,9:25:11
S1002,tGUI,9:25:11,9:25:19
S1002,tGUI,9:25:24,9:25:27
S1002,tGUI,9:25:30,9:25:37
S1002,tGUI,9:25:41,9:25:48
S1002,tGUI,9:26:11,9:26:13
S1002,tGUI,9:26:16,9:26:22
S1002,tGUI,9:26:26,9:26:34
S1002,tGUI,9:26:41,9:26:43
S1002,tGUI,9:26:45,9:26:55
S1002,tGUI,9:26:59,9:27:03
S1002,tGUI,9:27:11,9:27:14
S1002,tGUI,9:27:23,9:27:26
S1002,tGUI,9:27:29,9:27:30
S1002,tGUI,9:27:41,9:27:44
S1002,tGUI,9:27:47,9:27:54
S1002,tGUI,9:27:58,9:28:03
S1002,tGUI,9:28:09,9:28:11
